academicProgramofInterest,Group
Legal Studies,Business
Legal Studies (WebNet+),Business
Management,Leadership
Management and Leadership,Leadership
Marketing,Marketing and Communication
Master of Health administration,Nursing and Health Care
Master of Health administration Cohort at BJC,Nursing and Health Care
Master of Public administration,Nursing and Health Care
Master of Public administration (WebNet+),Nursing and Health Care
Master of Science in Nursing,Nursing and Health Care
MBa,Business
MBa (Evening Program),Business
MBa (One Year MBa Cohort),Business
MBa Cohort at BJC,Business
MBa Cohort at SSM,Business
MBa/Emphasis in Business and Organizational Security Management,Business
MBa/Emphasis in Finance,Business
MBa/Emphasis in Human Resources Development,Business
MBa/Emphasis in Human Resources Management,Business
MBa/Emphasis in Information Technology Management,Business
MBa/Emphasis in International Business,Business
MBa/Emphasis in International Relations,Business
MBa/Emphasis in Management,Business
MBa/Emphasis in Management and Leadership,Business
MBa/Emphasis in Marketing,Business
MBa/Emphasis in Media Communications,Business
MBa/Emphasis in Procurement and acquisitions Management,Business
Media Communications,Marketing and Communication
Media Literacy,Marketing and Communication
MSN Cohort at BJC,Nursing and Health Care
MSN Cohort at SSM,Nursing and Health Care
Music,ArtsMusic
Music/Emphasis in Church Music,ArtsMusic
Music/Emphasis in Composition/arranging,ArtsMusic
Music/Emphasis in Guitar,ArtsMusic
Music/Emphasis in Jazz Studies,ArtsMusic
Music/Emphasis in Orchestral Performance,ArtsMusic
Music/Emphasis in Piano,ArtsMusic
Music/Emphasis in Voice,ArtsMusic
New Media Production,Marketing and Communication
Non-Degree (Graduate),Undecided
Nonprofit Leadership,Leadership
Nonprofit Management (Certificate),Leadership
Nurse anesthesia (MS),Nursing and Health Care
Nurse Educator (Certificate),Nursing and Health Care
Nurse Leader (Certificate),Nursing and Health Care
Paralegal Studies (Certificate),Business
Paralegal Studies Certificate (WebNet+),Business
Procurement & acquisitions Management,Leadership
Project Management (Certificate),Leadership
Psychology/Emphasis in Counseling Psychology,Counseling
Public Relations,Marketing and Communication
Science Management and Leadership,Leadership
Science Management and Leadership (Certificate),Leadership
Security Studies (Certificate),Business
Social Entrepreneurship (Certificate),Business
Space Systems Operations Management/acquisitions and Program (WebNet+),Technology
Space Systems Operations Management/Emphasis in acquisitions and Program Management,Technology
Space Systems Operations Management/Emphasis in Engineering and Technical Management,Technology
Space Systems Operations Management/Engineering and Technical (WebNet+),Technology
Undecided (Ma),Undecided
Undecided (MBa),Undecided
none,Undecided
